,year,age,relig,partyid,income,region,race,hapmar,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,childs
28991,1993,65.0,2.0,1.0,10.0,4,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
63363,2018,53.0,2.0,2.0,,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
50014,2006,47.0,1.0,2.0,12.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41057,2002,71.0,1.0,1.0,8.0,2,2.0,,,,,,,,,6.0
42038,2002,31.0,1.0,2.0,1.0,6,1.0,,,,,,,,,1.0
17749,1985,63.0,1.0,0.0,9.0,5,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
37481,1998,62.0,1.0,1.0,4.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70684,2022,68.0,1.0,1.0,9.0,8,1.0,,,,,,,,,0.0
30352,1994,48.0,2.0,0.0,12.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
62358,2016,46.0,1.0,4.0,12.0,3,1.0,1.0,,,,,,,,8.0
29652,1994,20.0,2.0,3.0,,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54743,2010,82.0,1.0,0.0,6.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0
41083,2002,24.0,4.0,1.0,12.0,2,1.0,,,,,,,,,0.0
62052,2016,19.0,1.0,4.0,12.0,9,1.0,,,,,,,,,0.0
20192,1987,34.0,1.0,4.0,12.0,2,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
63074,2018,42.0,1.0,6.0,6.0,7,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
57794,2014,50.0,1.0,6.0,12.0,5,1.0,1.0,,,,,,,,1.0
55034,2010,81.0,4.0,5.0,12.0,5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
26137,1990,74.0,1.0,0.0,6.0,7,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0
70998,2022,72.0,1.0,6.0,11.0,5,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
64610,2018,89.0,1.0,7.0,12.0,7,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
61925,2016,55.0,1.0,6.0,6.0,8,1.0,,,,,,,,,0.0
33365,1996,29.0,1.0,3.0,12.0,9,1.0,2.0,,,,,,,,1.0
72027,2022,42.0,2.0,3.0,12.0,8,3.0,,,,,,,,,0.0
22153,1988,24.0,4.0,5.0,10.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44084,2004,37.0,4.0,0.0,12.0,9,1.0,,,,,,,,,0.0
72284,2022,54.0,1.0,5.0,12.0,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,
27392,1991,40.0,1.0,2.0,11.0,2,1.0,2.0,,,,,,,,2.0
691,1972,22.0,1.0,7.0,,2,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,,1.0
67195,2021,64.0,5.0,4.0,12.0,9,3.0,,,,,,,,,8.0
1803,1973,30.0,1.0,4.0,9.0,1,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0
63307,2018,50.0,4.0,0.0,12.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
50112,2006,35.0,2.0,3.0,,3,1.0,,,,,,,,,7.0
6173,1976,78.0,3.0,2.0,,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
52837,2008,37.0,2.0,1.0,11.0,5,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
33091,1996,61.0,2.0,0.0,12.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1292,1972,41.0,4.0,5.0,,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
58908,2014,60.0,1.0,1.0,10.0,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
4771,1975,21.0,1.0,5.0,11.0,4,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,0.0
43889,2004,56.0,1.0,0.0,12.0,9,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
59886,2016,28.0,2.0,2.0,12.0,3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61653,2016,34.0,2.0,1.0,12.0,3,1.0,,,,,,,,,2.0
52037,2008,62.0,1.0,0.0,12.0,4,1.0,1.0,,,,,,,,1.0
32724,1996,32.0,1.0,1.0,11.0,3,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
34503,1996,40.0,1.0,6.0,11.0,9,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
62054,2016,53.0,4.0,4.0,12.0,9,1.0,,,,,,,,,0.0
72228,2022,69.0,2.0,0.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
35387,1998,43.0,2.0,3.0,11.0,3,1.0,,,,,,,,,1.0
21027,1987,59.0,2.0,1.0,12.0,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
55704,2012,88.0,4.0,2.0,9.0,9,3.0,1.0,,,,,,,,4.0
65481,2021,32.0,4.0,0.0,10.0,8,3.0,,,,,,,,,1.0
38327,2000,78.0,1.0,5.0,12.0,9,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
55238,2012,49.0,2.0,2.0,11.0,9,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
60480,2016,48.0,4.0,0.0,12.0,9,1.0,1.0,,,,,,,,2.0
59990,2016,41.0,9.0,0.0,12.0,5,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
21908,1988,31.0,2.0,3.0,,2,2.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0
21831,1987,49.0,1.0,1.0,4.0,6,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
11679,1980,29.0,2.0,5.0,6.0,5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
71806,2022,58.0,2.0,1.0,12.0,8,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
40414,2000,63.0,1.0,5.0,8.0,6,1.0,2.0,,,,,,,,2.0
28301,1993,63.0,1.0,4.0,12.0,8,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0
6142,1976,50.0,1.0,1.0,1.0,3,1.0,,1.0,2.0,1.0,,1.0,1.0,,4.0
52709,2008,50.0,1.0,3.0,,5,1.0,2.0,,1.0,1.0,1.0,1.0,,,2.0
11659,1980,60.0,1.0,0.0,,5,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
7786,1977,47.0,2.0,,,3,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,8.0
46632,2006,30.0,1.0,1.0,12.0,2,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
11259,1980,31.0,4.0,3.0,10.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
51008,2006,64.0,1.0,5.0,,8,1.0,2.0,,,,,,,,1.0
45130,2004,28.0,4.0,3.0,12.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11904,1980,37.0,1.0,2.0,10.0,9,1.0,,2.0,2.0,1.0,2.0,,2.0,,
3066,1973,36.0,2.0,4.0,9.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
26155,1990,58.0,1.0,0.0,12.0,6,1.0,1.0,,,,,,,,4.0
72377,2022,66.0,3.0,0.0,12.0,1,1.0,,,,,,,,,0.0
21409,1987,52.0,1.0,4.0,12.0,6,1.0,1.0,1.0,2.0,,2.0,,2.0,2.0,2.0
41864,2002,26.0,4.0,2.0,12.0,7,3.0,,,,,,,,,1.0
33659,1996,46.0,4.0,2.0,12.0,3,1.0,,1.0,,1.0,,1.0,,,2.0
62883,2018,41.0,2.0,3.0,12.0,1,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0
2908,1973,20.0,1.0,4.0,2.0,9,2.0,,,1.0,1.0,1.0,,2.0,,1.0
6376,1976,34.0,1.0,6.0,9.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
15075,1983,36.0,1.0,4.0,11.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10761,1980,19.0,1.0,4.0,3.0,2,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
49924,2006,60.0,1.0,5.0,8.0,8,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
24701,1989,66.0,1.0,6.0,9.0,5,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
33279,1996,36.0,2.0,2.0,11.0,9,3.0,1.0,,,,,,,,2.0
12508,1982,31.0,1.0,0.0,6.0,7,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
52072,2008,29.0,4.0,0.0,,3,1.0,,,,,,,,,1.0
42713,2002,24.0,1.0,4.0,6.0,4,1.0,,,,,,,,,0.0
41142,2002,29.0,6.0,0.0,12.0,9,1.0,,,,,,,,,0.0
43965,2004,49.0,2.0,0.0,12.0,3,1.0,,,,,,,,,0.0
16546,1984,66.0,2.0,5.0,10.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62409,2016,53.0,1.0,1.0,10.0,5,2.0,,,,,,,,,5.0
50602,2006,67.0,1.0,0.0,12.0,7,1.0,,,,,,,,,0.0
42389,2002,63.0,4.0,5.0,11.0,5,2.0,,,,,,,,,3.0
1141,1972,20.0,1.0,5.0,,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
34845,1996,39.0,2.0,7.0,12.0,3,1.0,2.0,,,,,,,,2.0
40728,2000,81.0,1.0,0.0,12.0,9,1.0,,1.0,,1.0,2.0,,2.0,2.0,4.0
70195,2022,30.0,4.0,5.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
40116,2000,19.0,1.0,5.0,12.0,5,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0
47582,2006,24.0,3.0,2.0,8.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17605,1985,20.0,1.0,5.0,10.0,4,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
72380,2022,69.0,1.0,1.0,12.0,1,1.0,1.0,,,,,,,,0.0
7748,1977,60.0,1.0,6.0,12.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60750,2016,26.0,1.0,4.0,12.0,5,1.0,,,,,,,,,0.0
42892,2002,60.0,1.0,5.0,12.0,8,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
5355,1975,67.0,2.0,6.0,,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
45186,2004,68.0,4.0,3.0,9.0,5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34570,1996,54.0,2.0,4.0,12.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0
54921,2010,68.0,1.0,1.0,10.0,5,2.0,,,,,,,,,0.0
50638,2006,19.0,1.0,6.0,,6,1.0,,,,,,,,,0.0
833,1972,26.0,1.0,4.0,,9,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
50289,2006,60.0,1.0,6.0,12.0,6,1.0,1.0,,,,,,,,2.0
63681,2018,75.0,1.0,1.0,12.0,8,1.0,1.0,,,,,,,,3.0
20016,1986,44.0,4.0,0.0,,9,1.0,1.0,,,,,,,,1.0
46678,2006,68.0,3.0,0.0,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12332,1982,47.0,1.0,5.0,12.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
51798,2008,77.0,2.0,5.0,12.0,1,1.0,,,,,,,,,2.0
23059,1988,75.0,2.0,1.0,12.0,4,1.0,1.0,,,,,,,,4.0
3187,1974,18.0,2.0,0.0,9.0,7,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,0.0
33290,1996,51.0,2.0,5.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
12800,1982,68.0,1.0,5.0,2.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
18290,1985,40.0,2.0,1.0,12.0,3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0
50793,2006,21.0,4.0,0.0,5.0,8,1.0,,,,,,,,,0.0
71449,2022,43.0,4.0,4.0,12.0,5,1.0,,,,,,,,,0.0
65162,2021,53.0,1.0,0.0,12.0,5,1.0,,,,,,,,,0.0
7784,1977,20.0,1.0,4.0,9.0,3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
32867,1996,48.0,2.0,4.0,12.0,2,1.0,1.0,,,,,,,,5.0
27450,1991,57.0,2.0,1.0,,3,1.0,1.0,,,,,,,,4.0
33378,1996,22.0,2.0,3.0,9.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67245,2021,74.0,11.0,7.0,7.0,9,1.0,,,,,,,,,2.0
55217,2012,62.0,2.0,6.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
16913,1984,34.0,1.0,1.0,11.0,7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54883,2010,74.0,1.0,7.0,11.0,7,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
24186,1989,38.0,1.0,6.0,12.0,6,1.0,2.0,,,,,,,,2.0
4657,1975,50.0,1.0,5.0,12.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
1207,1972,20.0,1.0,0.0,,5,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,0.0
48938,2006,79.0,3.0,0.0,12.0,5,1.0,,,,,,,,,4.0
38396,2000,31.0,1.0,5.0,1.0,3,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0
10181,1978,53.0,1.0,0.0,9.0,5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
70366,2022,66.0,7.0,3.0,12.0,5,3.0,1.0,,,,,,,,0.0
37656,1998,59.0,1.0,0.0,12.0,7,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
28668,1993,25.0,2.0,5.0,12.0,9,1.0,,,,,,,,,1.0
15339,1983,27.0,2.0,5.0,12.0,3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
6581,1976,62.0,1.0,3.0,,7,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,,1.0
48592,2006,79.0,2.0,4.0,12.0,3,1.0,1.0,,,,,,,,4.0
4252,1974,78.0,2.0,7.0,4.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0
4217,1974,47.0,1.0,2.0,9.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
1752,1973,26.0,4.0,2.0,10.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
43722,2004,19.0,10.0,1.0,,2,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
59941,2016,62.0,2.0,6.0,12.0,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
43872,2004,26.0,2.0,5.0,12.0,9,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
61546,2016,47.0,4.0,4.0,12.0,6,3.0,,1.0,1.0,1.0,1.0,1.0,,,0.0
28545,1993,81.0,1.0,0.0,5.0,5,3.0,,,,,,,,,3.0
66451,2021,33.0,4.0,7.0,,4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37362,1998,68.0,2.0,2.0,1.0,1,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0
17119,1985,30.0,4.0,0.0,12.0,9,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
66787,2021,36.0,2.0,6.0,12.0,7,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
29191,1993,57.0,1.0,3.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8197,1977,56.0,1.0,3.0,6.0,5,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0
7846,1977,38.0,1.0,1.0,7.0,4,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,1.0
2258,1973,59.0,1.0,4.0,10.0,5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0
40673,2000,69.0,1.0,3.0,10.0,4,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,2.0
50689,2006,59.0,1.0,2.0,12.0,6,1.0,,,,,,,,,0.0
64621,2018,26.0,4.0,0.0,12.0,4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47892,2006,34.0,1.0,5.0,12.0,5,1.0,2.0,,,,,,,,2.0
36681,1998,76.0,1.0,0.0,9.0,6,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
1922,1973,79.0,1.0,4.0,2.0,3,1.0,,1.0,1.0,1.0,,1.0,2.0,,0.0
33560,1996,80.0,1.0,3.0,8.0,3,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0
21035,1987,26.0,1.0,5.0,11.0,9,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
14936,1983,47.0,1.0,3.0,3.0,2,1.0,,,2.0,1.0,2.0,,2.0,2.0,0.0
8488,1977,51.0,1.0,1.0,9.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63750,2018,55.0,4.0,4.0,12.0,2,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,2.0
23105,1988,33.0,1.0,5.0,,4,1.0,1.0,2.0,2.0,,2.0,,2.0,2.0,7.0
57233,2014,55.0,4.0,5.0,12.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
333,1972,33.0,2.0,6.0,,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
7095,1976,19.0,1.0,5.0,10.0,7,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,0.0
55194,2012,55.0,1.0,5.0,10.0,2,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
20902,1987,22.0,1.0,6.0,5.0,6,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
44734,2004,32.0,2.0,0.0,12.0,2,1.0,,,,,,,,,1.0
65027,2021,,1.0,3.0,,5,3.0,,,,,,,,,2.0
10156,1978,26.0,1.0,2.0,10.0,5,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
44685,2004,37.0,2.0,5.0,12.0,3,1.0,,,,,,,,,3.0
45075,2004,41.0,2.0,3.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
41212,2002,62.0,4.0,5.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
29104,1993,66.0,1.0,6.0,12.0,7,1.0,2.0,,,,,,,,5.0
24744,1989,33.0,1.0,1.0,11.0,7,1.0,1.0,,,,,,,,2.0
48976,2006,37.0,1.0,1.0,12.0,5,1.0,,,,,,,,,0.0
7407,1976,51.0,2.0,2.0,10.0,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,4.0
57901,2014,54.0,4.0,2.0,12.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
33418,1996,27.0,2.0,2.0,12.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
36839,1998,33.0,1.0,5.0,12.0,5,1.0,,,,,,,,,1.0
65577,2021,73.0,4.0,7.0,12.0,3,1.0,,,,,,,,,0.0
71555,2022,73.0,2.0,6.0,12.0,3,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,2.0,
54702,2010,70.0,2.0,1.0,9.0,8,3.0,,,,,,,,,2.0
31267,1994,19.0,1.0,2.0,10.0,6,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28971,1993,19.0,1.0,6.0,12.0,3,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
6316,1976,19.0,1.0,4.0,3.0,4,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,,0.0
35719,1998,60.0,1.0,0.0,9.0,9,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
63973,2018,46.0,2.0,5.0,10.0,5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0
47778,2006,76.0,1.0,3.0,12.0,4,1.0,,,,,,,,,2.0
32820,1996,23.0,2.0,2.0,4.0,9,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
43397,2002,31.0,13.0,6.0,12.0,7,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
5468,1975,27.0,2.0,3.0,2.0,7,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0
27336,1991,25.0,1.0,6.0,12.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12571,1982,81.0,1.0,4.0,12.0,9,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0
33453,1996,47.0,2.0,1.0,12.0,2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3815,1974,28.0,1.0,2.0,3.0,4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
45421,2004,31.0,11.0,3.0,11.0,7,3.0,,,,,,,,,3.0
13035,1982,29.0,2.0,6.0,11.0,3,1.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0
19719,1986,55.0,2.0,0.0,12.0,1,1.0,,,,,,,,,8.0
40782,2000,79.0,1.0,5.0,12.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
58861,2014,83.0,4.0,1.0,,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
58100,2014,63.0,1.0,7.0,12.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
17078,1985,38.0,2.0,2.0,8.0,2,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
6671,1976,60.0,2.0,1.0,5.0,2,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,,2.0
61171,2016,57.0,4.0,0.0,12.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16996,1984,20.0,1.0,1.0,12.0,5,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28745,1993,61.0,2.0,6.0,12.0,3,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0
35070,1996,65.0,1.0,5.0,8.0,6,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
16222,1984,24.0,4.0,2.0,4.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1391,1972,48.0,1.0,4.0,,7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0
71454,2022,59.0,2.0,5.0,12.0,2,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,
59058,2014,79.0,1.0,6.0,11.0,7,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0
37599,1998,47.0,1.0,6.0,12.0,4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
51422,2008,45.0,2.0,5.0,12.0,7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
66655,2021,54.0,1.0,3.0,8.0,4,1.0,,,,,,,,,4.0
48582,2006,40.0,1.0,6.0,12.0,3,1.0,,,,,,,,,2.0
7464,1976,31.0,1.0,4.0,10.0,6,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
15601,1984,38.0,5.0,1.0,11.0,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
53493,2010,41.0,1.0,2.0,,5,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
37286,1998,39.0,1.0,5.0,,4,1.0,2.0,,,,,,,,0.0
1534,1972,59.0,2.0,5.0,,2,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,,4.0
154,1972,49.0,1.0,2.0,,3,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,5.0
31975,1994,29.0,1.0,6.0,12.0,5,1.0,,,,,,,,,0.0
39334,2000,38.0,2.0,4.0,12.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
70720,2022,39.0,4.0,4.0,12.0,3,1.0,1.0,,,,,,,,
24195,1989,24.0,2.0,1.0,9.0,5,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
27380,1991,30.0,1.0,0.0,11.0,2,1.0,,,,,,,,,0.0
65024,2021,59.0,1.0,6.0,12.0,5,1.0,2.0,,,,,,,,3.0
57053,2012,69.0,3.0,6.0,10.0,1,1.0,2.0,,,,,,,,4.0
44547,2004,64.0,1.0,2.0,,7,1.0,,,,,,,,,2.0
35831,1998,32.0,2.0,3.0,7.0,2,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
32927,1996,36.0,3.0,2.0,11.0,2,1.0,,,,,,,,,2.0
50716,2006,39.0,1.0,0.0,12.0,7,2.0,,,,,,,,,1.0
49219,2006,47.0,2.0,3.0,,7,3.0,,,,,,,,,4.0
49100,2006,32.0,,,12.0,5,3.0,1.0,,,,,,,,2.0
12355,1982,26.0,4.0,1.0,11.0,3,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
6976,1976,60.0,1.0,2.0,11.0,3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0
21105,1987,62.0,1.0,5.0,12.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
11598,1980,42.0,1.0,1.0,12.0,3,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
2971,1973,43.0,1.0,5.0,9.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0
53580,2010,44.0,1.0,6.0,12.0,5,1.0,2.0,,,,,,,,2.0
56861,2012,59.0,1.0,1.0,12.0,7,1.0,1.0,,,,,,,,1.0
11888,1980,38.0,5.0,2.0,8.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14829,1983,24.0,2.0,6.0,1.0,9,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
69517,2022,53.0,1.0,1.0,12.0,9,1.0,,,,,,,,,1.0
10854,1980,18.0,1.0,1.0,12.0,3,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
33750,1996,32.0,1.0,1.0,12.0,3,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
29398,1994,52.0,1.0,5.0,,2,1.0,,,,,,,,,0.0
46737,2006,41.0,2.0,3.0,12.0,9,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0
